"","region","Region","Season","Species","ER","RegNUM","reg.vis"
"1","Aleutian Islands","Aleutian Islands","Summer","All",2.444,12,"Aleutian Islands"
"2","Aleutian Islands","Aleutian Islands","Summer","Black-legged Kittiwake",0.103,12,"Aleutian Islands"
"3","Aleutian Islands","Aleutian Islands","Summer","Brandt's Cormorant",0,12,"Aleutian Islands"
"4","Aleutian Islands","Aleutian Islands","Summer","Cassin's Auklet",0,12,"Aleutian Islands"
"5","Aleutian Islands","Aleutian Islands","Summer","Common Loon",0,12,"Aleutian Islands"
"6","Aleutian Islands","Aleutian Islands","Summer","Common Murre",0.001,12,"Aleutian Islands"
"7","Aleutian Islands","Aleutian Islands","Summer","Glaucous Gull",0,12,"Aleutian Islands"
"8","Aleutian Islands","Aleutian Islands","Summer","Glaucous-winged Gull",0.475,12,"Aleutian Islands"
"9","Aleutian Islands","Aleutian Islands","Summer","Large Immature Gull",0.006,12,"Aleutian Islands"
"10","Aleutian Islands","Aleutian Islands","Summer","Northern Fulmar",0.014,12,"Aleutian Islands"
"11","Aleutian Islands","Aleutian Islands","Summer","Rhinoceros Auklet",0,12,"Aleutian Islands"
"12","Aleutian Islands","Aleutian Islands","Summer","Short-tailed Shearwater",0.011,12,"Aleutian Islands"
"13","Aleutian Islands","Aleutian Islands","Summer","Sooty Shearwater",0,12,"Aleutian Islands"
"14","Aleutian Islands","Aleutian Islands","Summer","Surf Scoter",0,12,"Aleutian Islands"
"15","Aleutian Islands","Aleutian Islands","Summer","Western Gull",0,12,"Aleutian Islands"
"16","Aleutian Islands","Aleutian Islands","Summer","White-winged Scoter",0,12,"Aleutian Islands"
"17","Aleutian Islands","Aleutian Islands","Winter","Glaucous Gull",0,12,"Aleutian Islands"
"18","Aleutian Islands","Aleutian Islands","Winter","Glaucous-winged Gull",0,12,"Aleutian Islands"
"19","Aleutian Islands","Aleutian Islands","Winter","Large Immature Gull",0,12,"Aleutian Islands"
