"","region","Month","Species","Region","Mean.ER","Median.ER","Low.ER","High.ER","reg.vis"
"1","Aleutian Islands","Jan","All","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"2","Aleutian Islands","Feb","All","Aleutian Islands",0.18035391308308,0.1702867551241,0,0.387596899224806,"Aleutian Islands"
"3","Aleutian Islands","Mar","All","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"4","Aleutian Islands","Apr","All","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"5","Aleutian Islands","May","All","Aleutian Islands",0.19424411083844,0.181460835937621,0.0333417930848937,0.413000308036918,"Aleutian Islands"
"6","Aleutian Islands","Jun","All","Aleutian Islands",4.27449250819221,4.28784877272599,3.41478755467632,5.18685883441078,"Aleutian Islands"
"7","Aleutian Islands","Jul","All","Aleutian Islands",3.83663675825375,3.80082836074848,2.71107598635308,4.97510583636702,"Aleutian Islands"
"8","Aleutian Islands","Aug","All","Aleutian Islands",3.63108935885841,3.61486620435227,2.67015340758502,4.58790458896296,"Aleutian Islands"
"9","Aleutian Islands","Sep","All","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"10","Aleutian Islands","Oct","All","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"11","Aleutian Islands","Nov","All","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"12","Aleutian Islands","Dec","All","Aleutian Islands",2.57358590379827,2.3840145717374,0,5.42635658914729,"Aleutian Islands"
"13","Aleutian Islands","Jan","Western Gull","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"14","Aleutian Islands","Feb","Western Gull","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"15","Aleutian Islands","Mar","Western Gull","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"16","Aleutian Islands","Apr","Western Gull","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"17","Aleutian Islands","May","Western Gull","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"18","Aleutian Islands","Jun","Western Gull","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"19","Aleutian Islands","Jul","Western Gull","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"20","Aleutian Islands","Aug","Western Gull","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"21","Aleutian Islands","Sep","Western Gull","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"22","Aleutian Islands","Oct","Western Gull","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"23","Aleutian Islands","Nov","Western Gull","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"24","Aleutian Islands","Dec","Western Gull","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"25","Aleutian Islands","Jan","Common Murre","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"26","Aleutian Islands","Feb","Common Murre","Aleutian Islands",0.179978960443947,0.1702867551241,0,0.387596899224806,"Aleutian Islands"
"27","Aleutian Islands","Mar","Common Murre","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"28","Aleutian Islands","Apr","Common Murre","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"29","Aleutian Islands","May","Common Murre","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"30","Aleutian Islands","Jun","Common Murre","Aleutian Islands",0.00724610160394653,0.00686075744132834,0,0.019875927516211,"Aleutian Islands"
"31","Aleutian Islands","Jul","Common Murre","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"32","Aleutian Islands","Aug","Common Murre","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"33","Aleutian Islands","Sep","Common Murre","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"34","Aleutian Islands","Oct","Common Murre","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"35","Aleutian Islands","Nov","Common Murre","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"36","Aleutian Islands","Dec","Common Murre","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"37","Aleutian Islands","Jan","Large Immature Gull","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"38","Aleutian Islands","Feb","Large Immature Gull","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"39","Aleutian Islands","Mar","Large Immature Gull","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"40","Aleutian Islands","Apr","Large Immature Gull","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"41","Aleutian Islands","May","Large Immature Gull","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"42","Aleutian Islands","Jun","Large Immature Gull","Aleutian Islands",0.0118037978624414,0.0112758346170811,0,0.0341459579620074,"Aleutian Islands"
"43","Aleutian Islands","Jul","Large Immature Gull","Aleutian Islands",0.00883399555302521,0.00831397430757738,0,0.0248414068754912,"Aleutian Islands"
"44","Aleutian Islands","Aug","Large Immature Gull","Aleutian Islands",0.0214788105567863,0.0203734033753627,0,0.0498053272289969,"Aleutian Islands"
"45","Aleutian Islands","Sep","Large Immature Gull","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"46","Aleutian Islands","Oct","Large Immature Gull","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"47","Aleutian Islands","Nov","Large Immature Gull","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"48","Aleutian Islands","Dec","Large Immature Gull","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"49","Aleutian Islands","Jan","Brandt's Cormorant","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"50","Aleutian Islands","Feb","Brandt's Cormorant","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"51","Aleutian Islands","Mar","Brandt's Cormorant","Aleutian Islands",0,0,0,0,"Aleutian Islands"
"52","Aleutian Islands","Apr","Brandt's Cormorant","Aleutian Islands",0,0,0,0,"Aleutian Islands"
