reg,long,lat
AI,-184.00237,52.53513583
AI,-184.1413401,52.51571502
AI,-184.3917976,52.37341207
AI,-184.3521007,52.32477817
AI,-184.2616089,52.16674317
AI,-184.0389942,52.0853978
AI,-183.4438615,51.86949471
AI,-183.2508939,51.81646589
AI,-182.6403922,51.62878652
AI,-182.140054,51.56872712
AI,-181.5451833,51.49359516
AI,-181.2729118,51.38426275
AI,-180.9709585,51.27632824
AI,-180.4337131,51.17241648
AI,-179.7524828,51.15255673
AI,-179.2618586,51.10920841
AI,-178.8570033,51.1283162
AI,-178.163658,51.23526775
AI,-177.6089744,51.31311734
AI,-177.1477465,51.39488319
AI,-176.4371671,51.45047283
AI,-175.9289471,51.53690161
AI,-175.5589504,51.60949963
AI,-174.3819521,51.78006946
AI,-173.9931792,51.83708436
AI,-173.3081754,51.86080132
AI,-172.7923312,51.91183375
AI,-172.040624,51.94549157
AI,-171.690469,52.04322427
AI,-171.1316601,52.16253684
AI,-170.8269202,52.22030914
AI,-169.6920286,52.4571098
AI,-169.1031863,52.60723523
AI,-168.5504391,52.69717838
AI,-168.1126879,52.8588207
AI,-167.6573499,53.00776927
AI,-166.2799027,53.31876842
AI,-165.9143923,53.4389628
AI,-165.3668152,53.56353432
AI,-164.8876522,53.66180542
AI,-164.6225464,53.81482486
AI,-164.4640239,53.99561995
AI,-164.5127054,54.20324091
AI,-164.7802289,54.33162418
AI,-165.0484912,54.39156311
AI,-165.4094302,54.48678609
AI,-166.0427763,54.48394603
AI,-166.7739402,54.40651793
AI,-167.3430447,54.29585116
AI,-167.9937261,54.0801347
AI,-168.1021052,53.92119738
AI,-168.9271172,53.70798612
AI,-169.5345168,53.48956738
AI,-170.2630189,53.33874857
AI,-171.041882,53.01695771
AI,-171.3941449,52.79832729
AI,-172.1869311,52.63172518
AI,-173.3229103,52.56023791
AI,-173.8539021,52.44389388
AI,-174.381068,52.49096336
AI,-174.8960695,52.40792515
AI,-175.1538606,52.3357881
AI,-175.5081108,52.23152105
AI,-176.0238352,52.17124096
AI,-177.0289808,52.12199585
AI,-178.1841679,52.13489716
AI,-178.7326031,52.02407549
AI,-179.2724619,51.98866021
AI,-179.7922699,52.04953414
AI,-180.282411,52.09996767
AI,-180.7435074,52.15015853
AI,-181.5146896,52.2756332
