"","species_name","group_lab","X","X.1","X.2","X.3"
"1","3-Toed Shorebirds*","Shorebirds: 3-Toed",NA,NA,NA,NA
"2","4-Toed Shorebirds*","Shorebirds: 4-Toed",NA,NA,NA,NA
"3","Albatrosses*","Tubenoses: Albatrosses",NA,NA,NA,NA
"4","American Coot","Coots",NA,NA,NA,NA
"5","American Crow","Corvids",NA,NA,NA,NA
"6","American Robin","Songbirds",NA,NA,NA,NA
"7","American White Pelican","Pelicans",NA,NA,NA,NA
"8","American Wigeon","Waterfowl: Tippers",NA,NA,NA,NA
"9","Ancient Murrelet","Small Alcids",NA,NA,NA,NA
"10","Arctic Tern","Terns",NA,NA,NA,NA
"11","Auklets*","Small Alcids",NA,NA,NA,NA
"12","Bald Eagle","Eagles",NA,NA,NA,NA
"13","Band-tailed Pigeon","Pigeons",NA,NA,NA,NA
"14","Barn Owl","Owls",NA,NA,NA,NA
"15","Barred Owl","Owls",NA,NA,NA,NA
"16","Barrow's Goldeneye","Goldeneyes",NA,NA,NA,NA
"17","Bar-tailed Godwit","Shorebirds: 4-Toed",NA,NA,NA,NA
"18","Belted Kingfisher","Kingfishers",NA,NA,NA,NA
"19","Black Oystercatcher","Shorebirds: 3-Toed",NA,NA,NA,NA
"20","Black Scoter","Scoters",NA,NA,NA,NA
"21","Black Turnstone","Shorebirds: 4-Toed",NA,NA,NA,NA
"22","Black-bellied Plover","Shorebirds: 4-Toed",NA,NA,NA,NA
"23","Black-footed Albatross","Tubenoses: Albatrosses",NA,NA,NA,NA
"24","Black-headed Grosbeak","Songbirds",NA,NA,NA,NA
"25","Black-legged Kittiwake","Kittiwakes",NA,NA,NA,NA
"26","Black-vented Shearwater","Shearwaters",NA,NA,NA,NA
"27","Blue-footed Booby","Boobies",NA,NA,NA,NA
"28","Bonaparte's Gull","Gulls",NA,NA,NA,NA
"29","Brandt's Cormorant","Cormorants",NA,NA,NA,NA
"30","Brant","Other Geese",NA,NA,NA,NA
"31","Brown Booby","Boobies",NA,NA,NA,NA
"32","Brown Pelican","Pelicans",NA,NA,NA,NA
"33","Bufflehead","Other Diving Ducks",NA,NA,NA,NA
"34","Buller's Shearwater","Shearwaters",NA,NA,NA,NA
"35","California Gull","Gulls",NA,NA,NA,NA
"36","California Quail","Pheasants",NA,NA,NA,NA
"37","Canada Goose (aleutian)","White Cheeked Geese",NA,NA,NA,NA
"38","Canada Goose (canadensis)","White Cheeked Geese",NA,NA,NA,NA
"39","Canada Goose (minima)","White Cheeked Geese",NA,NA,NA,NA
"40","Canada Goose*","White Cheeked Geese",NA,NA,NA,NA
"41","Caspian Tern","Terns",NA,NA,NA,NA
"42","Cassin's Auklet","Small Alcids",NA,NA,NA,NA
"43","Chicken","Pheasants",NA,NA,NA,NA
"44","Clark's Grebe","Large Grebes",NA,NA,NA,NA
"45","Clark's Nutcracker","Corvids",NA,NA,NA,NA
"46","Common Eider","Eiders",NA,NA,NA,NA
"47","Common Goldeneye","Goldeneyes",NA,NA,NA,NA
"48","Common Loon","Large Loons",NA,NA,NA,NA
"49","Common Merganser","Mergansers",NA,NA,NA,NA
"50","Common Murre","Large Alcids",NA,NA,NA,NA
"51","Common Raven","Corvids",NA,NA,NA,NA
"52","Common Tern","Terns",NA,NA,NA,NA
"53","Cooper's Hawk","Hawks",NA,NA,NA,NA
"54","Cormorants*","Cormorants",NA,NA,NA,NA
"55","Corvids*","Corvids",NA,NA,NA,NA
"56","Crested Auklet","Small Alcids",NA,NA,NA,NA
"57","Dabbling Ducks*","Waterfowl: Tippers",NA,NA,NA,NA
"58","Dark-eyed Junco","Songbirds",NA,NA,NA,NA
"59","Diving Ducks*","Diving Ducks",NA,NA,NA,NA
"60","Double-crested Cormorant","Cormorants",NA,NA,NA,NA
"61","Dunlin","Shorebirds: 4-Toed",NA,NA,NA,NA
"62","Eared Grebe","Small Grebes",NA,NA,NA,NA
"63","Eiders*","Eiders",NA,NA,NA,NA
"64","Elegant Tern","Terns",NA,NA,NA,NA
"65","Emperor Goose","Other Geese",NA,NA,NA,NA
"66","Eurasian Wigeon","Waterfowl: Tippers",NA,NA,NA,NA
"67","European Starling","Songbirds",NA,NA,NA,NA
"68","Fork-tailed Storm-Petrel","Storm-Petrels",NA,NA,NA,NA
"69","Fox Sparrow","Songbirds",NA,NA,NA,NA
"70","Franklin's Gull","Gulls",NA,NA,NA,NA
"71","Fulmars*","Fulmars",NA,NA,NA,NA
"72","Gadfly Petrels*","Gadfly Petrels",NA,NA,NA,NA
"73","Gadwall","Waterfowl: Tippers",NA,NA,NA,NA
"74","Geese*","Geese",NA,NA,NA,NA
"75","Glaucous Gull","Gulls",NA,NA,NA,NA
"76","Glaucous-winged Gull","Gulls",NA,NA,NA,NA
"77","Golden-crowned Kinglet","Songbirds",NA,NA,NA,NA
"78","Golden-crowned Sparrow","Songbirds",NA,NA,NA,NA
"79","Gray-crowned Rosy-Finch","Songbirds",NA,NA,NA,NA
"80","Great Blue Heron","Waders",NA,NA,NA,NA
"81","Great Egret","Waders",NA,NA,NA,NA
"82","Great Horned Owl","Owls",NA,NA,NA,NA
"83","Greater Scaup","Scaups",NA,NA,NA,NA
"84","Greater White-fronted Goose","Other Geese",NA,NA,NA,NA
"85","Greater Yellowlegs","Shorebirds: 4-Toed",NA,NA,NA,NA
"86","Green-winged Teal","Waterfowl: Tippers",NA,NA,NA,NA
"87","Guillemots*","Large Alcids",NA,NA,NA,NA
"88","Gulls*","Gulls",NA,NA,NA,NA
"89","Harlequin Duck","Other Diving Ducks",NA,NA,NA,NA
"90","Hawks*","Hawks",NA,NA,NA,NA
"91","Heermann's Gull","Gulls",NA,NA,NA,NA
"92","Hermit Thrush","Songbirds",NA,NA,NA,NA
"93","Herring Gull","Gulls",NA,NA,NA,NA
"94","Hooded Merganser","Mergansers",NA,NA,NA,NA
"95","Horned Grebe","Small Grebes",NA,NA,NA,NA
"96","Horned Puffin","Large Alcids",NA,NA,NA,NA
"97","House Sparrow","Songbirds",NA,NA,NA,NA
"98","Jaegers and Skuas*","Jaegers and Skuas",NA,NA,NA,NA
"99","Jaegers*","Jaegers and Skuas",NA,NA,NA,NA
"100","Killdeer","Shorebirds: 3-Toed",NA,NA,NA,NA
"101","King Eider","Eiders",NA,NA,NA,NA
"102","Kingfishers*","Kingfishers",NA,NA,NA,NA
"103","Kittiwakes*","Kittiwakes",NA,NA,NA,NA
"104","Kittlitz's Murrelet","Small Alcids",NA,NA,NA,NA
"105","Large Alcids*","Large Alcids",NA,NA,NA,NA
"106","Large Cormorants*","Cormorants",NA,NA,NA,NA
"107","Large Grebes*","Large Grebes",NA,NA,NA,NA
